,peri_title,comm_title,ques_title,excl_title,peri_text,comm_text,ques_text,excl_text,title_length,text_length,title_words
34059,0,2,0,0,51,42,3,0,125,4473,17
10347,0,0,0,0,4,2,0,0,56,518,9
25271,0,0,0,0,12,16,1,1,103,1877,17
1750,2,1,0,0,23,23,0,0,68,3595,8
29550,0,1,0,0,19,21,2,0,81,2615,13
39599,0,0,0,1,13,21,0,0,135,2143,18
17389,2,0,0,0,31,21,0,0,71,2489,8
41714,0,0,0,0,18,15,0,0,87,1908,14
13876,0,0,0,0,2,2,0,0,75,428,11
7320,0,1,0,0,54,74,0,0,70,5687,12
33586,0,1,0,0,43,19,1,0,155,4298,19
10144,0,0,0,0,30,33,0,0,64,2976,12
6416,0,0,0,0,4,5,0,0,77,563,12
43843,0,0,0,0,25,23,0,0,90,3284,17
13841,0,0,0,0,16,7,0,0,69,1656,12
24627,0,0,0,0,17,15,0,0,61,1933,10
15504,0,1,0,0,9,8,0,0,60,1434,11
26886,0,2,0,0,14,16,1,0,70,1950,12
1874,0,0,0,0,3,2,0,0,76,574,10
24241,0,0,0,0,34,30,2,1,91,4024,14
33591,0,0,0,0,0,0,0,0,80,6,10
44142,2,1,0,0,20,13,1,0,65,2216,11
7594,0,1,0,0,44,55,1,0,80,4312,12
727,2,0,0,0,8,6,0,0,81,774,12
35221,0,0,0,0,27,12,0,0,130,3151,20
20060,0,0,0,0,21,21,0,0,73,2652,11
2193,0,0,0,0,36,25,0,0,64,3239,10
24270,0,0,0,0,10,12,1,0,96,1273,17
27152,0,1,0,0,18,17,0,0,85,2383,12
22913,0,0,0,0,16,15,0,1,94,2107,14
15670,0,0,0,0,5,8,0,0,61,709,8
21806,0,0,0,0,15,24,1,0,85,2176,14
18156,0,0,0,0,4,8,0,0,78,601,9
6799,0,0,0,0,28,28,0,0,71,2926,10
3538,0,0,0,0,13,9,0,0,55,1156,9
2289,0,0,0,0,11,18,0,0,69,2015,10
10860,0,0,0,0,12,17,0,0,66,1633,9
904,0,1,0,0,51,38,0,0,63,5272,10
2702,0,0,0,0,5,2,0,0,61,720,9
24308,0,0,0,0,25,19,5,5,85,2253,14
35236,0,0,0,0,18,13,0,0,105,2705,18
40898,0,0,0,1,48,42,2,0,150,6667,22
27529,0,0,0,0,31,27,1,0,73,2498,12
36080,0,1,0,0,14,8,0,2,102,1957,15
43875,0,2,0,0,66,109,6,0,90,11494,15
18570,0,0,0,0,22,17,0,0,72,3002,11
44052,0,0,0,0,5,20,1,3,57,1433,11
6348,0,0,0,0,10,7,0,1,61,742,8
7917,0,0,0,0,17,17,0,0,67,1993,9
26724,0,0,0,0,15,17,0,0,53,1942,9
32187,0,0,0,1,13,8,0,3,68,1499,10
33659,0,1,0,0,3,4,0,0,110,356,20
14404,0,0,0,0,14,17,0,0,55,2138,9
27250,0,0,0,0,16,27,1,0,78,2157,10
38832,0,1,0,0,127,147,8,0,91,15818,16
37187,1,0,0,0,7,3,2,0,86,901,13
18166,2,1,0,0,23,19,0,0,55,2046,9
36400,0,0,0,0,12,14,2,0,80,2278,14
11742,0,0,0,0,31,35,0,0,67,4834,11
30464,0,0,0,0,15,23,0,0,82,2153,13
22203,0,1,0,0,23,31,0,0,73,3261,15
22887,0,0,1,0,25,17,1,2,82,2634,12
9476,0,1,0,0,17,13,0,0,71,1899,10
40837,0,0,0,0,4,3,0,0,119,664,17
32085,0,0,0,0,17,12,2,0,113,3219,18
36797,0,0,0,0,40,27,0,0,122,3722,22
10803,0,0,0,0,30,32,0,0,56,4365,8
10137,0,0,0,0,21,21,0,0,66,2624,12
24079,0,0,0,0,10,9,1,0,76,2097,13
23545,0,0,0,0,30,22,0,0,85,2601,14
34689,0,0,0,0,27,30,2,0,140,3965,23
9613,0,0,0,0,28,15,0,0,64,2181,10
18573,0,0,0,0,10,16,1,1,61,1524,8
6610,0,0,0,0,27,27,0,0,54,3715,7
43131,2,0,0,0,0,0,0,0,106,1,19
13754,0,0,0,0,18,13,1,0,57,2212,9
26193,0,1,0,0,21,33,0,1,95,2894,14
3795,0,0,0,0,4,6,0,0,67,576,9
37609,0,0,0,0,0,0,0,0,90,1,13
37522,0,0,0,1,27,13,2,1,94,2535,14
38500,0,1,0,0,46,44,1,0,84,4749,14
5460,0,0,0,0,19,19,0,0,59,2321,9
16739,0,0,0,0,21,25,0,0,77,2643,11
25973,0,0,0,0,32,19,3,1,61,2088,10
8026,2,1,0,0,9,14,0,0,60,1396,9
15699,0,1,0,0,13,9,4,0,52,2043,10
33456,0,1,0,1,0,0,0,0,90,1,12
41960,0,0,0,1,16,20,1,0,93,2254,16
42166,0,0,0,1,16,10,0,2,97,1702,16
15970,0,0,0,0,11,14,0,0,65,1428,10
31286,0,0,0,1,5,3,0,0,103,961,16
6991,0,0,0,0,28,17,0,0,54,2952,7
41343,0,0,0,1,14,10,0,1,79,1764,12
29383,0,0,0,0,15,22,0,0,94,1842,14
42735,0,0,0,0,15,29,1,0,80,2238,14
17799,0,1,0,0,3,1,0,0,68,375,10
12400,2,0,0,0,4,2,0,0,80,379,12
15276,0,0,0,0,8,3,0,0,74,753,12
22786,0,0,1,1,18,33,4,3,93,2902,14
13170,0,0,0,0,26,28,0,0,71,3593,10
21387,0,0,0,0,15,11,0,0,61,1416,9
24005,0,1,0,0,21,17,0,0,74,3040,12
18026,0,0,0,0,17,20,0,0,65,1989,9
25734,0,0,0,0,19,30,4,0,80,2728,12
36085,0,0,0,0,0,0,0,0,75,107,13
782,2,0,0,0,35,19,0,0,73,3229,9
31907,0,1,0,1,10,5,0,1,111,1104,15
7105,0,1,0,0,15,15,0,0,49,1805,9
16691,0,0,0,0,23,28,0,0,60,3200,9
31197,0,0,0,0,13,12,0,0,148,1436,27
11641,0,0,0,0,4,5,0,0,68,445,9
39319,0,0,0,1,12,10,2,0,130,1807,18
21357,0,1,0,0,28,20,0,0,66,3138,8
33340,0,0,0,1,0,0,0,0,88,1,12
30050,0,0,0,0,35,31,2,0,92,4205,17
9153,0,0,0,0,19,30,0,0,70,2522,9
19855,0,0,0,0,7,1,0,0,66,664,9
18992,0,0,0,0,2,4,0,0,60,559,10
20291,0,0,0,0,15,11,0,0,73,1957,11
23328,0,0,0,0,17,15,0,0,86,1851,14
38922,0,1,1,0,30,41,0,0,149,4023,24
8415,2,0,0,0,25,17,0,0,66,2479,9
18790,0,0,0,0,3,4,0,0,68,559,12
24730,0,0,0,0,26,62,1,0,80,5191,13
29337,0,0,0,0,36,39,6,0,78,3412,13
26814,0,0,0,0,28,32,1,1,120,2597,18
17305,0,1,0,0,2,1,0,0,47,488,9
23426,0,0,0,0,25,13,1,0,97,2687,16
36274,0,0,0,0,17,41,1,1,100,2049,16
20885,0,1,0,0,13,19,0,0,54,1944,7
2093,0,0,0,0,12,27,0,0,87,2244,12
1395,0,0,0,0,3,4,0,0,62,525,10
6449,2,2,0,0,8,4,0,0,66,573,10
18197,0,0,0,0,2,4,0,0,61,445,11
6269,0,3,0,0,75,66,0,0,67,7054,10
17982,0,0,0,0,24,22,0,0,58,2650,7
39799,0,2,1,0,55,54,1,9,120,6925,17
13994,2,1,0,0,22,13,0,0,65,1316,12
23867,0,0,0,0,21,18,0,0,80,2080,13
16553,0,1,0,0,4,4,0,0,60,696,9
29240,0,1,0,0,22,30,2,1,78,1969,13
2112,3,0,0,0,7,2,0,0,76,482,11
44844,0,0,0,0,5,15,1,0,64,934,10
32082,0,0,0,0,10,6,0,3,76,1409,12
25989,0,2,0,0,40,60,2,0,76,5419,14
38110,0,0,0,0,8,7,0,2,173,734,21
2364,0,0,0,0,18,23,0,0,57,2429,9
6652,2,0,0,0,47,28,0,0,59,5015,10
7049,0,0,0,0,7,0,0,1,57,304,9
8122,0,1,0,0,47,45,0,0,66,5764,10
31872,1,0,0,0,12,8,1,0,101,1108,16
16240,0,0,0,0,21,22,0,0,68,2974,10
38480,0,0,1,0,43,32,5,4,98,5261,18
10586,0,0,0,0,19,15,0,0,67,2103,10
9410,0,0,0,0,9,12,0,0,71,1152,12
32128,0,0,0,0,6,8,0,0,57,991,10
8922,0,1,0,0,28,21,0,0,51,2273,7
8589,0,0,0,0,48,31,0,0,67,4328,8
31457,0,0,0,0,3,5,1,0,111,806,16
28305,0,0,0,0,27,24,2,1,72,3299,12
33440,0,0,0,0,16,6,0,0,55,1527,9
37128,0,1,0,0,11,10,2,0,116,1694,21
1350,0,2,0,0,12,18,0,1,57,1123,8
19982,0,0,0,0,2,3,0,0,67,386,10
12873,2,1,0,0,16,11,0,2,68,1498,11
34242,0,0,0,1,0,0,0,0,85,1,13
39601,0,0,0,0,6,8,0,1,128,1010,19
35600,0,0,0,0,12,9,0,3,82,1518,13
14460,0,0,0,0,26,21,0,0,54,2551,7
26644,0,0,0,0,23,17,1,2,83,2296,14
19925,0,1,0,0,3,4,0,0,61,506,10
24673,0,0,0,0,21,22,0,0,94,2169,15
15592,0,0,0,0,4,2,0,0,78,316,12
4963,0,0,0,0,23,21,0,0,66,3179,12
6638,2,0,0,0,17,20,0,0,77,2516,11
5228,0,0,0,0,5,6,0,0,51,844,8
36724,0,0,0,0,16,42,1,0,124,2368,21
20014,0,2,0,0,23,17,0,0,80,3193,10
8581,0,0,0,0,65,44,0,0,63,6493,9
25223,0,0,0,0,26,16,1,0,67,2089,9
37706,1,0,0,2,3,1,0,0,106,198,20
9132,0,0,0,0,33,33,0,0,72,3290,10
18833,0,1,0,0,2,3,0,0,75,500,12
21437,0,1,0,0,25,23,1,1,92,2932,16
37094,0,0,0,0,0,3,0,0,82,165,13
11586,2,2,0,0,35,25,0,0,61,4013,8
23465,0,1,0,0,28,25,0,0,95,3092,15
6486,2,0,0,0,22,27,0,0,59,2183,9
20131,0,0,0,0,13,11,0,0,60,1611,8
20278,0,0,0,0,2,5,0,0,80,338,12
10581,0,0,0,0,7,6,0,0,46,847,5
34210,0,0,0,0,26,33,2,0,66,2621,10
4680,2,1,0,0,41,56,1,0,61,4761,10
2284,2,1,0,0,38,17,0,0,75,2467,11
10857,2,0,0,0,20,13,0,0,47,1452,8
32070,0,0,0,0,22,12,0,1,104,1734,15
2415,0,0,0,0,32,27,0,3,63,4359,10
