,peri_title,comm_title,ques_title,excl_title,peri_text,comm_text,ques_text,excl_text,title_length,text_length,title_words
35641,0,1,0,1,24,17,3,0,150,2571,23
43780,0,0,0,0,4,6,0,0,80,959,12
19131,0,0,0,0,5,6,0,0,79,822,13
30005,0,0,1,0,25,36,1,1,80,2628,11
13663,0,1,0,0,32,45,0,0,72,3441,11
33686,0,0,0,0,27,19,0,0,106,2721,12
21003,0,1,0,0,2,2,0,0,94,391,17
31903,0,0,0,1,11,22,0,1,113,1947,14
24004,0,1,0,0,12,17,0,0,73,1931,11
18413,0,0,0,0,18,26,0,0,67,2786,11
37804,0,0,0,1,1,1,0,0,137,216,18
3139,0,0,0,0,12,19,0,0,71,1339,8
8036,2,0,0,0,21,23,0,0,47,2899,8
39130,0,0,0,0,23,18,4,2,106,2461,19
21955,0,0,0,0,10,12,0,1,103,1833,15
37497,0,0,0,1,7,6,3,2,45,1539,7
19755,0,0,0,0,11,8,0,0,79,1383,14
39225,0,0,0,0,18,21,2,1,92,2189,15
9258,0,0,0,0,6,3,0,0,72,382,11
26189,0,0,0,0,27,15,1,0,79,3634,10
44869,0,0,0,0,17,23,1,0,40,2444,7
3694,0,0,0,0,34,40,0,0,63,4363,11
44874,0,0,0,0,6,9,0,0,54,1217,10
28231,0,0,0,0,24,12,1,0,90,2875,13
12305,0,0,0,0,11,8,0,0,57,1564,8
15630,0,0,0,0,3,1,0,0,67,467,9
29771,0,0,0,0,28,22,9,0,71,3252,12
5570,0,0,0,0,35,24,0,0,71,4508,9
28799,0,0,0,0,19,23,0,0,93,2762,15
39892,0,0,0,0,15,31,0,0,106,2682,16
31658,0,0,0,0,59,47,2,1,172,6762,25
2475,0,0,0,0,4,5,0,0,62,365,10
24340,0,0,0,0,33,48,13,5,80,4138,12
37306,0,0,0,0,21,21,5,0,117,3157,20
19070,0,1,0,0,34,44,0,0,68,4771,10
17625,0,1,0,0,29,27,0,0,60,4638,10
23789,0,0,0,0,23,27,5,0,89,2924,13
17394,0,0,0,0,2,3,0,0,64,305,10
42432,0,0,0,0,2,1,0,1,95,219,15
32145,0,0,0,1,20,20,1,0,80,1899,15
21399,0,0,0,0,6,7,0,0,60,1004,9
29829,0,0,0,0,19,8,1,1,84,1451,15
20509,0,0,0,0,26,22,0,0,66,3095,9
18840,0,1,0,0,21,17,0,0,70,2662,10
34226,0,0,0,0,38,36,2,0,78,3749,11
31884,0,0,0,0,23,33,0,1,119,4192,16
44392,0,0,0,0,26,48,0,0,51,5271,10
12201,0,1,0,0,28,36,0,0,70,2436,12
15439,0,0,0,0,17,24,0,0,58,2380,10
9085,0,1,0,0,24,26,0,0,65,2673,11
